IDRESTAURANTE,CAPACIDAD,DISPONIBLE
5, 8, true
1, 3, false
8, 5, false
7, 7, true
10, 10, false
1, 10, false
6, 2, true
9, 7, false
10, 1, false
8, 4, false
7, 8, true
3, 2, true
4, 8, true
5, 4, true
9, 7, false
6, 6, false
10, 2, true
9, 6, true
2, 6, true
2, 6, false
4, 6, true
6, 8, true
8, 5, false
3, 5, false
3, 4, false
3, 4, false
9, 4, false
8, 2, true
9, 4, true
10, 10, false
4, 10, false
6, 4, false
5, 10, false
3, 9, false
4, 7, true
8, 7, false
7, 2, true
4, 9, true
5, 8, false
7, 10, false
10, 10, false
3, 6, false
5, 1, true
4, 4, false
7, 6, false
2, 7, true
10, 3, true
10, 7, false
9, 2, false
6, 4, true
4, 5, true
1, 10, true
6, 1, true
8, 1, true
10, 4, true
6, 8, true
9, 1, true
3, 4, false
5, 1, true
7, 6, true
6, 2, false
1, 3, true
1, 8, false
10, 6, false
1, 3, false
2, 8, false
4, 1, false
8, 4, true
2, 7, true
7, 9, false
5, 4, false
10, 7, true
3, 3, false
2, 4, true
2, 2, true
8, 9, true
8, 7, false
9, 10, false
1, 1, false
3, 3, false
10, 8, true
3, 3, true
7, 9, true
4, 10, false
2, 9, false
4, 3, true
8, 6, false
9, 8, true
5, 9, false
3, 8, false
8, 6, false
4, 10, true
10, 1, true
5, 8, true
5, 2, true
4, 8, true
2, 5, false
8, 3, true
3, 3, true
3, 2, false
